EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3490432,Rain,Light,3/22/22 21:30,3/22/22 21:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490433,Snow,Light,3/22/22 21:57,3/22/22 22:12,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490434,Snow,Light,3/22/22 22:28,3/22/22 22:33,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490435,Snow,Light,3/22/22 23:04,3/22/22 23:23,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490436,Storm,Severe,3/22/22 23:39,3/22/22 23:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490437,Storm,Severe,3/23/22 16:53,3/23/22 19:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490438,Rain,Light,3/29/22 15:53,3/29/22 16:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490439,Rain,Light,3/29/22 17:53,3/29/22 21:53,0.07,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490440,Rain,Light,3/29/22 22:33,3/29/22 23:36,0.07,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490441,Rain,Light,3/30/22 0:32,3/30/22 0:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490442,Snow,Light,3/30/22 1:41,3/30/22 1:45,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490443,Snow,Light,3/30/22 1:53,3/30/22 3:47,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490444,Snow,Moderate,3/30/22 3:47,3/30/22 4:42,0.06,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490445,Snow,Light,3/30/22 4:42,3/30/22 5:18,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490446,Snow,Light,3/31/22 0:53,3/31/22 1:01,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490447,Rain,Light,4/5/22 17:53,4/5/22 18:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490448,Storm,Severe,4/5/22 22:29,4/5/22 22:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490449,Rain,Light,4/10/22 8:53,4/10/22 9:11,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490450,Rain,Light,4/10/22 10:09,4/10/22 10:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490451,Storm,Severe,4/10/22 21:53,4/10/22 22:35,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490452,Rain,Light,4/17/22 7:53,4/17/22 8:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490453,Storm,Severe,4/17/22 22:53,4/17/22 23:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490454,Rain,Light,4/27/22 22:16,4/27/22 22:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490455,Rain,Light,4/29/22 19:12,4/29/22 19:30,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490456,Rain,Light,5/2/22 4:53,5/2/22 5:53,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490457,Rain,Light,5/2/22 6:22,5/2/22 6:53,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490458,Rain,Moderate,5/2/22 7:29,5/2/22 7:38,0.12,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490459,Rain,Moderate,5/2/22 7:53,5/2/22 8:01,0.25,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490460,Rain,Light,5/2/22 8:01,5/2/22 8:28,0.12,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490461,Rain,Moderate,5/2/22 8:28,5/2/22 9:00,0.57,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490462,Rain,Light,5/2/22 9:00,5/2/22 12:20,0.35,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490463,Rain,Light,5/2/22 12:53,5/2/22 13:45,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490464,Snow,Light,5/2/22 14:05,5/2/22 14:09,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490465,Snow,Moderate,5/2/22 14:09,5/2/22 14:32,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490466,Snow,Heavy,5/2/22 14:32,5/2/22 14:53,0.14,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
