,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
3828713,W-4039059,Rain,Light,2016-04-20 10:28:00,0.11,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828714,W-4039060,Rain,Moderate,2016-04-20 12:53:00,0.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828715,W-4039061,Rain,Light,2016-04-21 09:22:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828716,W-4039062,Rain,Moderate,2016-04-21 10:35:00,0.24,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828717,W-4039063,Rain,Light,2016-04-21 11:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828718,W-4039064,Rain,Light,2016-04-27 02:23:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828719,W-4039065,Rain,Heavy,2016-04-27 04:28:00,1.81,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828720,W-4039066,Rain,Light,2016-04-27 05:53:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828721,W-4039067,Rain,Light,2016-04-29 05:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828722,W-4039068,Rain,Light,2016-04-29 07:37:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828723,W-4039069,Fog,Moderate,2016-04-29 15:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828724,W-4039070,Fog,Moderate,2016-04-29 20:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828725,W-4039071,Rain,Light,2016-04-29 22:41:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828726,W-4039072,Rain,Light,2016-04-30 14:02:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828727,W-4039073,Rain,Light,2016-05-02 10:24:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828728,W-4039074,Rain,Moderate,2016-05-02 11:02:00,0.16,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828729,W-4039075,Rain,Heavy,2016-05-02 11:15:00,1.4,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828730,W-4039076,Rain,Light,2016-05-02 12:15:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828731,W-4039077,Rain,Moderate,2016-05-02 12:53:00,0.12,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828732,W-4039078,Rain,Light,2016-05-02 13:28:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828733,W-4039079,Rain,Light,2016-05-08 16:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828734,W-4039080,Rain,Light,2016-05-08 18:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828735,W-4039081,Rain,Light,2016-05-09 02:32:00,0.2,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828736,W-4039082,Rain,Light,2016-05-09 05:53:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828737,W-4039083,Rain,Light,2016-05-09 14:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828738,W-4039084,Fog,Moderate,2016-05-10 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828739,W-4039085,Rain,Light,2016-05-11 01:36:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828740,W-4039086,Storm,Severe,2016-05-11 02:10:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828741,W-4039087,Rain,Moderate,2016-05-11 02:28:00,0.32,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828742,W-4039088,Rain,Light,2016-05-12 04:05:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828743,W-4039089,Rain,Moderate,2016-05-12 05:28:00,0.69,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828744,W-4039090,Rain,Light,2016-05-12 06:40:00,0.12,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828745,W-4039091,Rain,Light,2016-05-14 11:14:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828746,W-4039092,Rain,Heavy,2016-05-14 11:39:00,0.89,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828747,W-4039093,Rain,Light,2016-05-14 12:53:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828748,W-4039094,Rain,Light,2016-05-16 14:37:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828749,W-4039095,Rain,Moderate,2016-05-16 14:53:00,0.18,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828750,W-4039096,Rain,Light,2016-05-16 14:57:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828751,W-4039097,Rain,Light,2016-05-17 11:24:00,0.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828752,W-4039098,Rain,Moderate,2016-05-17 12:36:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828753,W-4039099,Rain,Light,2016-05-17 21:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828754,W-4039100,Rain,Light,2016-05-18 06:50:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828755,W-4039101,Rain,Light,2016-05-18 12:20:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828756,W-4039102,Rain,Light,2016-05-19 02:53:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828757,W-4039103,Rain,Light,2016-05-19 11:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828758,W-4039104,Rain,Light,2016-05-19 12:20:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828759,W-4039105,Rain,Moderate,2016-05-19 12:37:00,1.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828760,W-4039106,Rain,Heavy,2016-05-19 13:53:00,0.31,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828761,W-4039107,Rain,Light,2016-05-19 13:57:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828762,W-4039108,Rain,Light,2016-05-19 15:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828763,W-4039109,Rain,Light,2016-05-23 13:29:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828764,W-4039110,Rain,Moderate,2016-05-23 14:39:00,0.5,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828765,W-4039111,Rain,Light,2016-05-24 03:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828766,W-4039112,Rain,Light,2016-05-24 13:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828767,W-4039113,Fog,Moderate,2016-05-24 16:20:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828768,W-4039114,Rain,Light,2016-05-24 16:48:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828769,W-4039115,Rain,Light,2016-05-24 17:40:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828770,W-4039116,Fog,Moderate,2016-05-24 17:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828771,W-4039117,Rain,Light,2016-05-26 14:53:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828772,W-4039118,Rain,Light,2016-05-26 19:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828773,W-4039119,Rain,Light,2016-05-27 04:41:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828774,W-4039120,Rain,Moderate,2016-05-27 05:28:00,0.25,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828775,W-4039121,Rain,Light,2016-05-27 07:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828776,W-4039122,Rain,Light,2016-05-27 10:59:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828777,W-4039123,Rain,Moderate,2016-05-27 11:12:00,0.18,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828778,W-4039124,Rain,Heavy,2016-05-27 11:26:00,1.86,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828779,W-4039125,Rain,Light,2016-05-27 12:13:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828780,W-4039126,Rain,Moderate,2016-05-27 12:53:00,0.25,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828781,W-4039127,Rain,Light,2016-05-27 14:28:00,0.22,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828782,W-4039128,Rain,Light,2016-05-28 13:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828783,W-4039129,Rain,Light,2016-05-29 11:25:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828784,W-4039130,Rain,Moderate,2016-05-29 11:49:00,0.41,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828785,W-4039131,Rain,Light,2016-05-29 12:53:00,0.23,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828786,W-4039132,Rain,Light,2016-05-29 23:50:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828787,W-4039133,Rain,Light,2016-05-30 07:53:00,0.17,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828788,W-4039134,Rain,Heavy,2016-05-30 09:38:00,0.83,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828789,W-4039135,Rain,Moderate,2016-05-30 10:53:00,0.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828790,W-4039136,Rain,Light,2016-05-31 20:45:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828791,W-4039137,Rain,Moderate,2016-05-31 22:41:00,0.52,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828792,W-4039138,Rain,Light,2016-05-31 22:55:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828793,W-4039139,Rain,Heavy,2016-05-31 23:29:00,1.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828794,W-4039140,Rain,Moderate,2016-06-01 00:53:00,0.24,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828795,W-4039141,Rain,Light,2016-06-01 01:28:00,0.11,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828796,W-4039142,Rain,Light,2016-06-01 10:53:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828797,W-4039143,Rain,Moderate,2016-06-01 11:10:00,0.19,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828798,W-4039144,Rain,Heavy,2016-06-01 11:21:00,1.13,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828799,W-4039145,Rain,Light,2016-06-01 15:35:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828800,W-4039146,Rain,Light,2016-06-01 17:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828801,W-4039147,Rain,Light,2016-06-02 08:47:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828802,W-4039148,Rain,Light,2016-06-02 18:25:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828803,W-4039149,Rain,Moderate,2016-06-02 18:53:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828804,W-4039150,Rain,Light,2016-06-02 19:06:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828805,W-4039151,Rain,Moderate,2016-06-02 19:14:00,0.53,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828806,W-4039152,Rain,Light,2016-06-02 19:58:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
